LfdArtNr;artnr1;abez1;me;basis_me;anz_basis;anz_ve;ean_me;kn_ja;wgrupnr;sort1;sort2;warennr;gewicht_gr;gewicht;sb_ja;KopfLfdNr;ArtNr;ArtBez;VarTyp;VarBez;VarFarbe;kn_art
17391;1219-150;Häkelnadel mit Griff 1,50 mm;Stück;1;1.00;10.00;4036014014654;NULL;12;99;"             1219-150";76169910;10;0;NULL;1151;1219-K;Häkelnadel Metall mit Kunststoffgriff;Stärke;1,5;NULL;[leer]
17392;1219-300;Häkelnadel mit Griff 3,00 mm;Stück;1;1.00;10.00;4036014014623;NULL;12;99;"             1219-300";76169910;20;0;NULL;1151;1219-K;Häkelnadel Metall mit Kunststoffgriff;Stärke;3,0;NULL;[leer]
17393;1219-350;Häkelnadel mit Griff 3,50 mm;Stück;1;1.00;10.00;4036014014616;NULL;12;99;"             1219-350";76169910;20;0;NULL;1151;1219-K;Häkelnadel Metall mit Kunststoffgriff;Stärke;3,5;NULL;[leer]
17394;1219-400;Häkelnadel mit Griff 4,00 mm;Stück;1;1.00;10.00;4036014014609;NULL;12;99;"             1219-400";76169910;20;0;NULL;1151;1219-K;Häkelnadel Metall mit Kunststoffgriff;Stärke;4,0;NULL;[leer]
17399;1224;Nadeleinfädler, 2 Stück;Stück;1;1.00;10.00;4036014122403;NULL;19;99;"                 1224";76169990;10;0;NULL;1169;1224;Nadeleinfädler, 2 Stück;Einzelartikel;1224;NULL;[leer]
21524;824-0;Cona 400 g, Fischer Wolle;kg;10;2.50;1.00;NULL;1;11;99;"                824-0";52071000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
21525;824-601;Cona 400 g, Fischer Wolle;kg;10;2.50;1.00;4250855401828;1;11;99;"              824-601";52071000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
21526;824-602;Cona 400 g, ecru, Fischer Wolle;kg;10;2.50;1.00;4250855401835;1;11;99;"              824-602";52071000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
21544;762-0;Cotton Fun;kg;10;20.00;10.00;NULL;1;15;99;"                762-0";52071000;NULL;1;NULL;1011;762-;Cotton Fun;Farbe;0;NULL;Längsknäuel
21545;762-01;Cotton Fun;kg;10;20.00;10.00;4036014004785;1;15;99;"               762-01";52071000;NULL;1;NULL;1011;762-;Cotton Fun;Farbe;01;weiß;Längsknäuel
21546;762-10;Cotton Fun;kg;10;20.00;10.00;4036014004778;1;15;99;"               762-10";52071000;NULL;1;NULL;1011;762-;Cotton Fun;Farbe;10;royalblau;Längsknäuel
21547;762-11;Cotton Fun;kg;10;20.00;10.00;4036014004761;1;15;99;"               762-11";52071000;NULL;1;NULL;1011;762-;Cotton Fun;Farbe;11;marine;Längsknäuel
